user_id,password,role
jane.davis@sjsu.edu,welcomejane,student
laura.martinez1@sjsu.edu,welcomelaura,student
laura.garcia@sjsu.edu,welcomelaura,student
jane.rodriguez@sjsu.edu,welcomejane,student
sarah.davis@sjsu.edu,welcomesarah,student
laura.williams2@sjsu.edu,welcomelaura,student
emily.garcia1@sjsu.edu,welcomeemily,student
emily.davis@sjsu.edu,welcomeemily,student
michael.martinez1@sjsu.edu,welcomemichael,student
david.martinez@sjsu.edu,welcomedavid,student
robert.jones1@sjsu.edu,welcomerobert,student
emily.davis1@sjsu.edu,welcomeemily,student
alex.miller2@sjsu.edu,welcomealex,student
emma.jones@sjsu.edu,welcomeemma,student
michael.miller@sjsu.edu,welcomemichael,student
alex.johnson@sjsu.edu,welcomealex,student
jane.jones@sjsu.edu,welcomejane,student
laura.johnson2@sjsu.edu,welcomelaura,student
alex.williams@sjsu.edu,welcomealex,student
john.garcia2@sjsu.edu,welcomejohn,student
laura.williams3@sjsu.edu,welcomelaura,student
david.miller5@sjsu.edu,welcomedavid,student
emma.garcia1@sjsu.edu,welcomeemma,student
laura.davis@sjsu.edu,welcomelaura,student
sarah.jones2@sjsu.edu,welcomesarah,student
david.miller6@sjsu.edu,welcomedavid,student
alex.johnson1@sjsu.edu,welcomealex,student
john.jones1@sjsu.edu,welcomejohn,student
jane.smith1@sjsu.edu,welcomejane,student
david.smith@sjsu.edu,welcomedavid,student
alex.jones1@sjsu.edu,welcomealex,student
david.williams2@sjsu.edu,welcomedavid,student
jane.johnson2@sjsu.edu,welcomejane,student
sarah.jones3@sjsu.edu,welcomesarah,student
laura.martinez2@sjsu.edu,welcomelaura,student
jane.smith2@sjsu.edu,welcomejane,student
emily.martinez1@sjsu.edu,welcomeemily,student
alex.smith2@sjsu.edu,welcomealex,student
michael.martinez2@sjsu.edu,welcomemichael,student
david.davis1@sjsu.edu,welcomedavid,student
alex.martinez1@sjsu.edu,welcomealex,student
alex.jones2@sjsu.edu,welcomealex,student
david.johnson2@sjsu.edu,welcomedavid,student
emily.jones@sjsu.edu,welcomeemily,student
robert.martinez1@sjsu.edu,welcomerobert,student
jane.johnson3@sjsu.edu,welcomejane,student
david.rodriguez1@sjsu.edu,welcomedavid,student
sarah.williams@sjsu.edu,welcomesarah,student
david.brown2@sjsu.edu,welcomedavid,student
alex.jones3@sjsu.edu,welcomealex,student
john.rodriguez1@sjsu.edu,welcomejohn,student
michael.davis1@sjsu.edu,welcomemichael,student
robert.garcia@sjsu.edu,welcomerobert,student
laura.jones@sjsu.edu,welcomelaura,student
john.rodriguez2@sjsu.edu,welcomejohn,student
laura.smith1@sjsu.edu,welcomelaura,student
emma.davis@sjsu.edu,welcomeemma,student
laura.davis1@sjsu.edu,welcomelaura,student
laura.martinez3@sjsu.edu,welcomelaura,student
alex.martinez2@sjsu.edu,welcomealex,student
robert.miller2@sjsu.edu,welcomerobert,student
laura.johnson3@sjsu.edu,welcomelaura,student
david.rodriguez2@sjsu.edu,welcomedavid,student
emily.brown@sjsu.edu,welcomeemily,student
emily.miller2@sjsu.edu,welcomeemily,student
jane.johnson4@sjsu.edu,welcomejane,student
david.smith1@sjsu.edu,welcomedavid,student
jane.garcia1@sjsu.edu,welcomejane,student
alex.brown1@sjsu.edu,welcomealex,student
michael.johnson@sjsu.edu,welcomemichael,student
alex.brown2@sjsu.edu,welcomealex,student
emma.brown1@sjsu.edu,welcomeemma,student
michael.brown@sjsu.edu,welcomemichael,student
emma.martinez1@sjsu.edu,welcomeemma,student
alex.garcia@sjsu.edu,welcomealex,student
sarah.smith2@sjsu.edu,welcomesarah,student
emma.martinez2@sjsu.edu,welcomeemma,student
david.johnson3@sjsu.edu,welcomedavid,student
laura.smith2@sjsu.edu,welcomelaura,student
laura.davis2@sjsu.edu,welcomelaura,student
john.davis@sjsu.edu,welcomejohn,student
robert.miller3@sjsu.edu,welcomerobert,student
alex.rodriguez1@sjsu.edu,welcomealex,student
sarah.rodriguez@sjsu.edu,welcomesarah,student
emma.davis1@sjsu.edu,welcomeemma,student
alex.smith3@sjsu.edu,welcomealex,student
emily.brown1@sjsu.edu,welcomeemily,student
david.martinez1@sjsu.edu,welcomedavid,student
david.smith2@sjsu.edu,welcomedavid,student
robert.jones2@sjsu.edu,welcomerobert,student
john.brown@sjsu.edu,welcomejohn,student
sarah.garcia2@sjsu.edu,welcomesarah,student
sarah.brown1@sjsu.edu,welcomesarah,student
michael.martinez3@sjsu.edu,welcomemichael,student
michael.johnson1@sjsu.edu,welcomemichael,student
alex.jones4@sjsu.edu,welcomealex,student
jane.jones1@sjsu.edu,welcomejane,student
robert.smith1@sjsu.edu,welcomerobert,student
jane.brown2@sjsu.edu,welcomejane,student
michael.johnson2@sjsu.edu,welcomemichael,student
jane.brown3@sjsu.edu,welcomejane,student
robert.miller4@sjsu.edu,welcomerobert,student
jane.davis1@sjsu.edu,welcomejane,student
robert.martinez2@sjsu.edu,welcomerobert,student
john.jones2@sjsu.edu,welcomejohn,student
emma.smith@sjsu.edu,welcomeemma,student
laura.garcia1@sjsu.edu,welcomelaura,student
alex.jones5@sjsu.edu,welcomealex,student
laura.brown1@sjsu.edu,welcomelaura,student
david.davis2@sjsu.edu,welcomedavid,student
michael.davis2@sjsu.edu,welcomemichael,student
jane.johnson5@sjsu.edu,welcomejane,student
sarah.jones4@sjsu.edu,welcomesarah,student
sarah.johnson1@sjsu.edu,welcomesarah,student
david.jones2@sjsu.edu,welcomedavid,student
emma.rodriguez1@sjsu.edu,welcomeemma,student
emily.johnson1@sjsu.edu,welcomeemily,student
emily.jones1@sjsu.edu,welcomeemily,student
alex.martinez3@sjsu.edu,welcomealex,student
alex.smith4@sjsu.edu,welcomealex,student
john.williams3@sjsu.edu,welcomejohn,student
david.smith3@sjsu.edu,welcomedavid,student
david.davis3@sjsu.edu,welcomedavid,student
laura.jones1@sjsu.edu,welcomelaura,student
emma.jones1@sjsu.edu,welcomeemma,student
david.jones3@sjsu.edu,welcomedavid,student
jane.miller@sjsu.edu,welcomejane,student
robert.garcia1@sjsu.edu,welcomerobert,student
jane.smith3@sjsu.edu,welcomejane,student
emily.davis2@sjsu.edu,welcomeemily,student
michael.davis3@sjsu.edu,welcomemichael,student
emily.martinez2@sjsu.edu,welcomeemily,student
alex.martinez4@sjsu.edu,welcomealex,student
emma.davis2@sjsu.edu,welcomeemma,student
david.smith4@sjsu.edu,welcomedavid,student
emma.miller@sjsu.edu,welcomeemma,student
michael.garcia2@sjsu.edu,welcomemichael,student
laura.davis3@sjsu.edu,welcomelaura,student
john.garcia3@sjsu.edu,welcomejohn,student
alex.garcia1@sjsu.edu,welcomealex,student
emily.garcia2@sjsu.edu,welcomeemily,student
emma.davis3@sjsu.edu,welcomeemma,student
emma.brown2@sjsu.edu,welcomeemma,student
emma.smith1@sjsu.edu,welcomeemma,student
emma.brown3@sjsu.edu,welcomeemma,student
john.johnson@sjsu.edu,welcomejohn,student
jane.davis2@sjsu.edu,welcomejane,student
sarah.rodriguez1@sjsu.edu,welcomesarah,student
michael.rodriguez2@sjsu.edu,welcomemichael,student
emma.martinez3@sjsu.edu,welcomeemma,student
david.jones4@sjsu.edu,welcomedavid,student
jane.rodriguez1@sjsu.edu,welcomejane,student
emma.miller1@sjsu.edu,welcomeemma,student
jane.williams@sjsu.edu,welcomejane,student
michael.miller1@sjsu.edu,welcomemichael,student
michael.smith3@sjsu.edu,welcomemichael,student
david.garcia@sjsu.edu,welcomedavid,student
emily.miller3@sjsu.edu,welcomeemily,student
john.williams4@sjsu.edu,welcomejohn,student
david.martinez2@sjsu.edu,welcomedavid,student
robert.williams@sjsu.edu,welcomerobert,student
emma.smith2@sjsu.edu,welcomeemma,student
jane.garcia2@sjsu.edu,welcomejane,student
laura.brown2@sjsu.edu,welcomelaura,student
david.brown3@sjsu.edu,welcomedavid,student
michael.smith4@sjsu.edu,welcomemichael,student
emily.martinez3@sjsu.edu,welcomeemily,student
john.jones3@sjsu.edu,welcomejohn,student
alex.davis4@sjsu.edu,welcomealex,student
emily.davis3@sjsu.edu,welcomeemily,student
michael.brown1@sjsu.edu,welcomemichael,student
david.johnson4@sjsu.edu,welcomedavid,student
emma.davis4@sjsu.edu,welcomeemma,student
alex.miller3@sjsu.edu,welcomealex,student
david.brown4@sjsu.edu,welcomedavid,student
sarah.williams1@sjsu.edu,welcomesarah,student
robert.brown@sjsu.edu,welcomerobert,student
robert.johnson2@sjsu.edu,welcomerobert,student
robert.jones3@sjsu.edu,welcomerobert,student
robert.martinez3@sjsu.edu,welcomerobert,student
sarah.williams2@sjsu.edu,welcomesarah,student
emma.garcia2@sjsu.edu,welcomeemma,student
sarah.rodriguez2@sjsu.edu,welcomesarah,student
laura.miller@sjsu.edu,welcomelaura,student
emily.williams1@sjsu.edu,welcomeemily,student
david.garcia1@sjsu.edu,welcomedavid,student
robert.martinez4@sjsu.edu,welcomerobert,student
alex.williams1@sjsu.edu,welcomealex,student
michael.miller2@sjsu.edu,welcomemichael,student
alex.johnson2@sjsu.edu,welcomealex,student
emily.garcia3@sjsu.edu,welcomeemily,student
john.jones4@sjsu.edu,welcomejohn,student
jane.williams1@sjsu.edu,welcomejane,student
alex.johnson3@sjsu.edu,welcomealex,student
emma.martinez4@sjsu.edu,welcomeemma,student
john.jones5@sjsu.edu,welcomejohn,student
alex.brown3@sjsu.edu,welcomealex,student
david.jones5@sjsu.edu,welcomedavid,student
alex.garcia2@sjsu.edu,welcomealex,student
david.williams3@sjsu.edu,welcomedavid,student
john.martinez@sjsu.edu,welcomejohn,student
laura.jones2@sjsu.edu,welcomelaura,student
laura.jones3@sjsu.edu,welcomelaura,student
alex.garcia3@sjsu.edu,welcomealex,student
john.miller1@sjsu.edu,welcomejohn,student
robert.garcia2@sjsu.edu,welcomerobert,student
michael.jones@sjsu.edu,welcomemichael,student
robert.smith2@sjsu.edu,welcomerobert,student
robert.davis@sjsu.edu,welcomerobert,student
michael.davis4@sjsu.edu,welcomemichael,student
david.davis4@sjsu.edu,welcomedavid,student
john.johnson1@sjsu.edu,welcomejohn,student
robert.jones4@sjsu.edu,welcomerobert,student
david.miller7@sjsu.edu,welcomedavid,student
michael.jones1@sjsu.edu,welcomemichael,student
laura.brown3@sjsu.edu,welcomelaura,student
emily.miller4@sjsu.edu,welcomeemily,student
michael.jones2@sjsu.edu,welcomemichael,student
robert.williams1@sjsu.edu,welcomerobert,student
emily.johnson2@sjsu.edu,welcomeemily,student
john.williams5@sjsu.edu,welcomejohn,student
sarah.garcia3@sjsu.edu,welcomesarah,student
michael.jones3@sjsu.edu,welcomemichael,student
laura.rodriguez@sjsu.edu,welcomelaura,student
emily.brown2@sjsu.edu,welcomeemily,student
john.jones6@sjsu.edu,welcomejohn,student
sarah.jones5@sjsu.edu,welcomesarah,student
alex.garcia4@sjsu.edu,welcomealex,student
emma.jones2@sjsu.edu,welcomeemma,student
emma.davis5@sjsu.edu,welcomeemma,student
robert.smith3@sjsu.edu,welcomerobert,student
emily.jones2@sjsu.edu,welcomeemily,student
david.martinez3@sjsu.edu,welcomedavid,student
jane.miller1@sjsu.edu,welcomejane,student
john.smith@sjsu.edu,welcomejohn,student
sarah.martinez@sjsu.edu,welcomesarah,student
david.rodriguez3@sjsu.edu,welcomedavid,student
emma.jones3@sjsu.edu,welcomeemma,student
john.johnson2@sjsu.edu,welcomejohn,student
sarah.smith3@sjsu.edu,welcomesarah,student
john.miller2@sjsu.edu,welcomejohn,student
sarah.smith4@sjsu.edu,welcomesarah,student
sarah.smith5@sjsu.edu,welcomesarah,student
david.brown5@sjsu.edu,welcomedavid,student
michael.rodriguez3@sjsu.edu,welcomemichael,student
alex.johnson4@sjsu.edu,welcomealex,student
sarah.brown2@sjsu.edu,welcomesarah,student
sarah.miller@sjsu.edu,welcomesarah,student
john.davis1@sjsu.edu,welcomejohn,student
john.davis2@sjsu.edu,welcomejohn,student
robert.rodriguez2@sjsu.edu,welcomerobert,student
emma.rodriguez2@sjsu.edu,welcomeemma,student
robert.smith4@sjsu.edu,welcomerobert,student
jane.miller2@sjsu.edu,welcomejane,student
laura.davis4@sjsu.edu,welcomelaura,student
michael.johnson3@sjsu.edu,welcomemichael,student
emma.garcia3@sjsu.edu,welcomeemma,student
sarah.martinez1@sjsu.edu,welcomesarah,student
robert.smith5@sjsu.edu,welcomerobert,student
alex.garcia5@sjsu.edu,welcomealex,student
jane.miller3@sjsu.edu,welcomejane,student
michael.rodriguez4@sjsu.edu,welcomemichael,student
michael.brown2@sjsu.edu,welcomemichael,student
sarah.smith6@sjsu.edu,welcomesarah,student
emily.smith@sjsu.edu,welcomeemily,student
michael.brown3@sjsu.edu,welcomemichael,student
alex.martinez5@sjsu.edu,welcomealex,student
alex.johnson5@sjsu.edu,welcomealex,student
david.jones6@sjsu.edu,welcomedavid,student
david.rodriguez4@sjsu.edu,welcomedavid,student
john.rodriguez3@sjsu.edu,welcomejohn,student
robert.johnson3@sjsu.edu,welcomerobert,student
john.smith1@sjsu.edu,welcomejohn,student
robert.jones5@sjsu.edu,welcomerobert,student
emily.rodriguez1@sjsu.edu,welcomeemily,student
david.brown6@sjsu.edu,welcomedavid,student
robert.rodriguez3@sjsu.edu,welcomerobert,student
laura.martinez4@sjsu.edu,welcomelaura,student
alex.davis5@sjsu.edu,welcomealex,student
jane.garcia3@sjsu.edu,welcomejane,student
emily.garcia4@sjsu.edu,welcomeemily,student
alex.martinez6@sjsu.edu,welcomealex,student
alex.williams2@sjsu.edu,welcomealex,student
emma.davis6@sjsu.edu,welcomeemma,student
david.davis5@sjsu.edu,welcomedavid,student
emily.johnson3@sjsu.edu,welcomeemily,student
emma.brown4@sjsu.edu,welcomeemma,student
sarah.martinez2@sjsu.edu,welcomesarah,student
david.martinez4@sjsu.edu,welcomedavid,student
alex.rodriguez2@sjsu.edu,welcomealex,student
sarah.miller1@sjsu.edu,welcomesarah,student
emily.smith1@sjsu.edu,welcomeemily,student
alex.davis6@sjsu.edu,welcomealex,student
laura.miller1@sjsu.edu,welcomelaura,student
sarah.rodriguez3@sjsu.edu,welcomesarah,student
jane.brown4@sjsu.edu,welcomejane,student
john.jones7@sjsu.edu,welcomejohn,student
david.jones7@sjsu.edu,welcomedavid,student
alex.brown4@sjsu.edu,welcomealex,student
sarah.jones6@sjsu.edu,welcomesarah,student
jane.jones2@sjsu.edu,welcomejane,student
jane.miller4@sjsu.edu,welcomejane,student
david.smith5@sjsu.edu,welcomedavid,student
david.jones8@sjsu.edu,welcomedavid,student
emma.jones4@sjsu.edu,welcomeemma,student
sarah.johnson2@sjsu.edu,welcomesarah,student
emma.brown5@sjsu.edu,welcomeemma,student
robert.martinez5@sjsu.edu,welcomerobert,student
sarah.jones7@sjsu.edu,welcomesarah,student
john.martinez1@sjsu.edu,welcomejohn,student
robert.rodriguez4@sjsu.edu,welcomerobert,student
john.johnson3@sjsu.edu,welcomejohn,student
laura.martinez5@sjsu.edu,welcomelaura,student
jane.jones3@sjsu.edu,welcomejane,student
sarah.jones8@sjsu.edu,welcomesarah,student
robert.smith6@sjsu.edu,welcomerobert,student
emma.brown6@sjsu.edu,welcomeemma,student
sarah.williams3@sjsu.edu,welcomesarah,student
alex.johnson6@sjsu.edu,welcomealex,student
michael.jones4@sjsu.edu,welcomemichael,student
john.rodriguez4@sjsu.edu,welcomejohn,student
jane.brown5@sjsu.edu,welcomejane,student
john.brown1@sjsu.edu,welcomejohn,student
emily.williams2@sjsu.edu,welcomeemily,student
michael.miller3@sjsu.edu,welcomemichael,student
emily.johnson4@sjsu.edu,welcomeemily,student
alex.brown5@sjsu.edu,welcomealex,student
laura.jones4@sjsu.edu,welcomelaura,student
michael.jones5@sjsu.edu,welcomemichael,student
david.garcia2@sjsu.edu,welcomedavid,student
emma.miller2@sjsu.edu,welcomeemma,student
emma.davis7@sjsu.edu,welcomeemma,student
laura.davis5@sjsu.edu,welcomelaura,student
david.johnson5@sjsu.edu,welcomedavid,student
laura.rodriguez1@sjsu.edu,welcomelaura,student
robert.brown1@sjsu.edu,welcomerobert,student
david.garcia3@sjsu.edu,welcomedavid,student
laura.smith3@sjsu.edu,welcomelaura,student
emily.garcia5@sjsu.edu,welcomeemily,student
laura.smith4@sjsu.edu,welcomelaura,student
laura.davis6@sjsu.edu,welcomelaura,student
john.jones8@sjsu.edu,welcomejohn,student
michael.rodriguez5@sjsu.edu,welcomemichael,student
david.davis6@sjsu.edu,welcomedavid,student
john.garcia4@sjsu.edu,welcomejohn,student
robert.smith7@sjsu.edu,welcomerobert,student
david.garcia4@sjsu.edu,welcomedavid,student
sarah.brown3@sjsu.edu,welcomesarah,student
sarah.williams4@sjsu.edu,welcomesarah,student
robert.johnson4@sjsu.edu,welcomerobert,student
sarah.williams5@sjsu.edu,welcomesarah,student
john.johnson4@sjsu.edu,welcomejohn,student
john.davis3@sjsu.edu,welcomejohn,student
jane.martinez2@sjsu.edu,welcomejane,student
michael.brown4@sjsu.edu,welcomemichael,student
robert.jones6@sjsu.edu,welcomerobert,student
john.jones9@sjsu.edu,welcomejohn,student
emily.brown3@sjsu.edu,welcomeemily,student
john.rodriguez5@sjsu.edu,welcomejohn,student
alex.davis7@sjsu.edu,welcomealex,student
laura.garcia2@sjsu.edu,welcomelaura,student
david.martinez5@sjsu.edu,welcomedavid,student
john.davis4@sjsu.edu,welcomejohn,student
emma.brown7@sjsu.edu,welcomeemma,student
alex.miller4@sjsu.edu,welcomealex,student
emily.smith2@sjsu.edu,welcomeemily,student
emma.jones5@sjsu.edu,welcomeemma,student
alex.jones6@sjsu.edu,welcomealex,student
david.williams4@sjsu.edu,welcomedavid,student
emily.johnson5@sjsu.edu,welcomeemily,student
emily.garcia6@sjsu.edu,welcomeemily,student
david.miller8@sjsu.edu,welcomedavid,student
michael.rodriguez6@sjsu.edu,welcomemichael,student
robert.smith8@sjsu.edu,welcomerobert,student
alex.williams3@sjsu.edu,welcomealex,student
michael.garcia3@sjsu.edu,welcomemichael,student
michael.jones6@sjsu.edu,welcomemichael,student
emma.jones6@sjsu.edu,welcomeemma,student
laura.jones5@sjsu.edu,welcomelaura,student
john.rodriguez6@sjsu.edu,welcomejohn,student
michael.miller4@sjsu.edu,welcomemichael,student
alex.davis8@sjsu.edu,welcomealex,student
sarah.johnson3@sjsu.edu,welcomesarah,student
alex.brown6@sjsu.edu,welcomealex,student
jane.rodriguez2@sjsu.edu,welcomejane,student
emma.jones7@sjsu.edu,welcomeemma,student
laura.williams4@sjsu.edu,welcomelaura,student
michael.garcia4@sjsu.edu,welcomemichael,student
emma.davis8@sjsu.edu,welcomeemma,student
michael.brown5@sjsu.edu,welcomemichael,student
michael.davis5@sjsu.edu,welcomemichael,student
david.williams5@sjsu.edu,welcomedavid,student
alex.rodriguez3@sjsu.edu,welcomealex,student
robert.johnson5@sjsu.edu,welcomerobert,student
sarah.garcia4@sjsu.edu,welcomesarah,student
sarah.williams6@sjsu.edu,welcomesarah,student
emily.smith3@sjsu.edu,welcomeemily,student
sarah.rodriguez4@sjsu.edu,welcomesarah,student
jane.williams2@sjsu.edu,welcomejane,student
david.miller9@sjsu.edu,welcomedavid,student
robert.martinez6@sjsu.edu,welcomerobert,student
david.davis7@sjsu.edu,welcomedavid,student
sarah.miller2@sjsu.edu,welcomesarah,student
alex.johnson7@sjsu.edu,welcomealex,student
laura.martinez6@sjsu.edu,welcomelaura,student
emma.johnson@sjsu.edu,welcomeemma,student
emma.williams1@sjsu.edu,welcomeemma,student
sarah.miller3@sjsu.edu,welcomesarah,student
emily.miller5@sjsu.edu,welcomeemily,student
emma.brown8@sjsu.edu,welcomeemma,student
jane.smith4@sjsu.edu,welcomejane,student
michael.davis6@sjsu.edu,welcomemichael,student
michael.jones7@sjsu.edu,welcomemichael,student
john.williams6@sjsu.edu,welcomejohn,student
emily.williams3@sjsu.edu,welcomeemily,student
alex.williams4@sjsu.edu,welcomealex,student
jane.miller5@sjsu.edu,welcomejane,student
emma.jones8@sjsu.edu,welcomeemma,student
emma.williams2@sjsu.edu,welcomeemma,student
david.smith6@sjsu.edu,welcomedavid,student
laura.johnson4@sjsu.edu,welcomelaura,student
sarah.martinez3@sjsu.edu,welcomesarah,student
emily.rodriguez2@sjsu.edu,welcomeemily,student
laura.davis7@sjsu.edu,welcomelaura,student
laura.smith5@sjsu.edu,welcomelaura,student
laura.smith6@sjsu.edu,welcomelaura,student
michael.williams3@sjsu.edu,welcomemichael,student
david.rodriguez5@sjsu.edu,welcomedavid,student
emma.williams3@sjsu.edu,welcomeemma,student
jane.johnson6@sjsu.edu,welcomejane,student
emma.garcia4@sjsu.edu,welcomeemma,student
jane.williams3@sjsu.edu,welcomejane,student
alex.brown7@sjsu.edu,welcomealex,student
emily.garcia7@sjsu.edu,welcomeemily,student
sarah.davis1@sjsu.edu,welcomesarah,student
emily.garcia8@sjsu.edu,welcomeemily,student
alex.garcia6@sjsu.edu,welcomealex,student
david.jones9@sjsu.edu,welcomedavid,student
david.martinez6@sjsu.edu,welcomedavid,student
robert.johnson6@sjsu.edu,welcomerobert,student
emily.davis4@sjsu.edu,welcomeemily,student
emily.miller6@sjsu.edu,welcomeemily,student
laura.smith7@sjsu.edu,welcomelaura,student
laura.rodriguez2@sjsu.edu,welcomelaura,student
alex.garcia7@sjsu.edu,welcomealex,student
laura.jones6@sjsu.edu,welcomelaura,student
john.smith2@sjsu.edu,welcomejohn,student
john.garcia5@sjsu.edu,welcomejohn,student
emma.brown9@sjsu.edu,welcomeemma,student
michael.smith5@sjsu.edu,welcomemichael,student
robert.jones7@sjsu.edu,welcomerobert,student
sarah.miller4@sjsu.edu,welcomesarah,student
alex.jones7@sjsu.edu,welcomealex,student
sarah.rodriguez5@sjsu.edu,welcomesarah,student
sarah.davis2@sjsu.edu,welcomesarah,student
jane.davis3@sjsu.edu,welcomejane,student
emily.garcia9@sjsu.edu,welcomeemily,student
michael.johnson4@sjsu.edu,welcomemichael,student
david.johnson6@sjsu.edu,welcomedavid,student
robert.johnson7@sjsu.edu,welcomerobert,student
laura.garcia3@sjsu.edu,welcomelaura,student
alex.jones8@sjsu.edu,welcomealex,student
michael.smith6@sjsu.edu,welcomemichael,student
robert.davis1@sjsu.edu,welcomerobert,student
michael.jones8@sjsu.edu,welcomemichael,student
jane.rodriguez3@sjsu.edu,welcomejane,student
jane.rodriguez4@sjsu.edu,welcomejane,student
david.williams6@sjsu.edu,welcomedavid,student
robert.johnson8@sjsu.edu,welcomerobert,student
laura.garcia4@sjsu.edu,welcomelaura,student
john.davis5@sjsu.edu,welcomejohn,student
emily.brown4@sjsu.edu,welcomeemily,student
michael.miller5@sjsu.edu,welcomemichael,student
robert.garcia3@sjsu.edu,welcomerobert,student
emily.rodriguez3@sjsu.edu,welcomeemily,student
emily.miller7@sjsu.edu,welcomeemily,student
emma.rodriguez3@sjsu.edu,welcomeemma,student
sarah.brown4@sjsu.edu,welcomesarah,student
emma.martinez5@sjsu.edu,welcomeemma,student
alex.jones9@sjsu.edu,welcomealex,student
emily.williams4@sjsu.edu,welcomeemily,student
laura.johnson5@sjsu.edu,welcomelaura,student
michael.johnson5@sjsu.edu,welcomemichael,student
sarah.martinez4@sjsu.edu,welcomesarah,student
laura.smith8@sjsu.edu,welcomelaura,student
david.garcia5@sjsu.edu,welcomedavid,student
emily.brown5@sjsu.edu,welcomeemily,student
emily.johnson6@sjsu.edu,welcomeemily,student
laura.rodriguez3@sjsu.edu,welcomelaura,student
